TIME,SENSOR ID,DATE TIME,VALUES
,113,2020-07-01 10:41:24,-12.11
,114,2020-07-01 10:41:24,-14.69
,115,2020-07-01 10:41:24,-15.00
,116,2020-07-01 10:41:24,-15.39
,117,2020-07-01 10:41:24,-14.44
,118,2020-07-01 10:41:24,-16.98
26,101,2020-07-01 10:43:32,-16.21
,102,2020-07-01 10:43:32,-14.10
,103,2020-07-01 10:43:32,-12.22
,104,2020-07-01 10:43:32,-15.19
,105,2020-07-01 10:43:32,-14.32
,106,2020-07-01 10:43:32,-13.32
,107,2020-07-01 10:43:32,-16.98
,112,2020-07-01 10:43:32,-16.44
,108,2020-07-01 10:43:32,-14.33
,109,2020-07-01 10:43:32,-12.65
,110,2020-07-01 10:43:32,-14.60
,111,2020-07-01 10:43:32,-15.65
,113,2020-07-01 10:43:32,-12.11
,114,2020-07-01 10:43:32,-14.47
,115,2020-07-01 10:43:32,-15.11
,116,2020-07-01 10:43:32,-15.39
,117,2020-07-01 10:43:32,-14.44
,118,2020-07-01 10:43:32,-16.98
27,101,2020-07-01 10:45:41,-16.21
,102,2020-07-01 10:45:41,-14.10
,103,2020-07-01 10:45:41,-12.22
,104,2020-07-01 10:45:41,-14.58
,109,2020-07-01 10:45:41,-12.65
,105,2020-07-01 10:45:41,-14.44
,107,2020-07-01 10:45:41,-15.11
,108,2020-07-01 10:45:41,-14.76
,110,2020-07-01 10:45:41,-14.76
,111,2020-07-01 10:45:41,-15.65
,112,2020-07-01 10:45:41,-16.44
,113,2020-07-01 10:45:41,-12.11
,106,2020-07-01 10:45:41,-13.44
,114,2020-07-01 10:45:41,-14.17
,115,2020-07-01 10:45:41,-15.11
,116,2020-07-01 10:45:41,-15.39
,117,2020-07-01 10:45:41,-14.54
,118,2020-07-01 10:45:41,-15.00
28,101,2020-07-01 10:47:12,-16.32
,102,2020-07-01 10:47:12,-14.10
,103,2020-07-01 10:47:12,-12.33
,104,2020-07-01 10:47:12,-14.37
,105,2020-07-01 10:47:12,-14.44
,106,2020-07-01 10:47:12,-13.44
,107,2020-07-01 10:47:12,-15.11
,108,2020-07-01 10:47:12,-14.60
,109,2020-07-01 10:47:12,-12.65
,110,2020-07-01 10:47:12,-14.08
,114,2020-07-01 10:47:12,-14.12
,111,2020-07-01 10:47:12,-15.65
,112,2020-07-01 10:47:12,-16.44
,113,2020-07-01 10:47:12,-12.11
,116,2020-07-01 10:47:12,-15.39
,117,2020-07-01 10:47:12,-14.54
,118,2020-07-01 10:47:12,-15.11
,115,2020-07-01 10:47:12,-15.21
29,101,2020-07-01 10:48:42,-16.32
,102,2020-07-01 10:48:42,-14.10
,103,2020-07-01 10:48:42,-12.33
,104,2020-07-01 10:48:42,-14.64
,105,2020-07-01 10:48:42,-14.44
,106,2020-07-01 10:48:42,-13.44
,107,2020-07-01 10:48:42,-15.11
,108,2020-07-01 10:48:42,-14.46
,111,2020-07-01 10:48:42,-15.76
,109,2020-07-01 10:48:42,-12.76
,110,2020-07-01 10:48:42,-14.42
,114,2020-07-01 10:48:42,-14.17
,115,2020-07-01 10:48:42,-15.21
,116,2020-07-01 10:48:42,-15.39
,112,2020-07-01 10:48:42,-16.55
,113,2020-07-01 10:48:42,-12.11
,117,2020-07-01 10:48:42,-14.66
,118,2020-07-01 10:48:42,-15.11
30,101,2020-07-01 10:50:13,-16.44
,102,2020-07-01 10:50:13,-14.22
,103,2020-07-01 10:50:13,-12.33
,104,2020-07-01 10:50:13,-14.98
,109,2020-07-01 10:50:13,-12.76
,105,2020-07-01 10:50:13,-14.54
,106,2020-07-01 10:50:13,-13.44
,107,2020-07-01 10:50:13,-15.21
,108,2020-07-01 10:50:13,-14.46
,110,2020-07-01 10:50:13,-14.51
,111,2020-07-01 10:50:13,-15.76
,113,2020-07-01 10:50:13,-12.11
,114,2020-07-01 10:50:13,-14.46
,112,2020-07-01 10:50:13,-16.65
,116,2020-07-01 10:50:13,-15.39
,115,2020-07-01 10:50:13,-15.32
,117,2020-07-01 10:50:13,-14.66
,118,2020-07-01 10:50:13,-15.11
31,101,2020-07-01 10:51:58,-16.44
,102,2020-07-01 10:51:58,-14.32
,103,2020-07-01 10:51:58,-12.33
,104,2020-07-01 10:51:58,-15.05
,105,2020-07-01 10:51:58,-14.54
,110,2020-07-01 10:51:58,-14.64
,106,2020-07-01 10:51:58,-13.54
,107,2020-07-01 10:51:58,-15.21
,108,2020-07-01 10:51:58,-14.81
,109,2020-07-01 10:51:58,-12.76
,111,2020-07-01 10:51:58,-15.88
,112,2020-07-01 10:51:58,-16.65
,113,2020-07-01 10:51:58,-12.11
,114,2020-07-01 10:51:58,-14.15
,115,2020-07-01 10:51:58,-15.32
,116,2020-07-01 10:51:58,-15.39
,117,2020-07-01 10:51:58,-14.66
,118,2020-07-01 10:51:58,-15.11
32,101,2020-07-01 10:53:54,-16.44
,102,2020-07-01 10:53:54,-14.32
,103,2020-07-01 10:53:54,-12.33
,104,2020-07-01 10:53:54,-15.01
,109,2020-07-01 10:53:54,-12.87
,105,2020-07-01 10:53:54,-14.66
,106,2020-07-01 10:53:54,-13.54
,107,2020-07-01 10:53:54,-15.32
,108,2020-07-01 10:53:54,-14.85
,110,2020-07-01 10:53:54,-14.96
,111,2020-07-01 10:53:54,-15.88
,112,2020-07-01 10:53:54,-16.65
,113,2020-07-01 10:53:54,-12.11
,114,2020-07-01 10:53:54,-14.15
,115,2020-07-01 10:53:54,-15.32
,116,2020-07-01 10:53:54,-15.39
,117,2020-07-01 10:53:54,-14.76
,118,2020-07-01 10:53:54,-15.21
33,101,2020-07-01 10:55:24,-16.55
,102,2020-07-01 10:55:24,-14.32
,103,2020-07-01 10:55:24,-12.33
,104,2020-07-01 10:55:24,-15.11
,109,2020-07-01 10:55:24,-12.87
,105,2020-07-01 10:55:24,-14.66
,106,2020-07-01 10:55:24,-13.66
,107,2020-07-01 10:55:24,-15.32
,108,2020-07-01 10:55:24,-14.49
,110,2020-07-01 10:55:24,-14.63
,111,2020-07-01 10:55:24,-15.88
,112,2020-07-01 10:55:24,-16.76
,113,2020-07-01 10:55:24,-12.11
,114,2020-07-01 10:55:24,-15.04
,115,2020-07-01 10:55:24,-15.44
,117,2020-07-01 10:55:24,-14.76
,118,2020-07-01 10:55:24,-15.32
,116,2020-07-01 10:55:24,-16.50
34,101,2020-07-01 10:56:54,-16.65
,102,2020-07-01 10:56:54,-14.32
,103,2020-07-01 10:56:54,-12.33
,104,2020-07-01 10:56:54,-14.98
,109,2020-07-01 10:56:54,-12.87
,105,2020-07-01 10:56:54,-14.66
,106,2020-07-01 10:56:54,-13.66
,107,2020-07-01 10:56:54,-15.44
,108,2020-07-01 10:56:54,-14.68
,110,2020-07-01 10:56:54,-14.38
,111,2020-07-01 10:56:54,-15.98
,112,2020-07-01 10:56:54,-16.88
,113,2020-07-01 10:56:54,-12.11
,114,2020-07-01 10:56:54,-14.31
,115,2020-07-01 10:56:54,-15.44
,116,2020-07-01 10:56:54,-16.50
,117,2020-07-01 10:56:54,-14.88
,118,2020-07-01 10:56:54,-15.32
35,101,2020-07-01 10:58:24,-16.65
,102,2020-07-01 10:58:24,-14.32
,103,2020-07-01 10:58:24,-12.33
,104,2020-07-01 10:58:24,-15.15
,109,2020-07-01 10:58:24,-12.87
,105,2020-07-01 10:58:24,-14.66
,106,2020-07-01 10:58:24,-13.66
,107,2020-07-01 10:58:24,-15.44
,108,2020-07-01 10:58:24,-15.11
,110,2020-07-01 10:58:24,-15.25
,111,2020-07-01 10:58:24,-15.98
,112,2020-07-01 10:58:24,-16.88
,113,2020-07-01 10:58:24,-12.11
,114,2020-07-01 10:58:24,-14.92
,115,2020-07-01 10:58:24,-15.44
,116,2020-07-01 10:58:24,-16.50
,117,2020-07-01 10:58:24,-14.88
,118,2020-07-01 10:58:24,-15.32
36,101,2020-07-01 10:59:55,-16.65
,102,2020-07-01 10:59:55,-14.44
,103,2020-07-01 10:59:55,-12.33
,104,2020-07-01 10:59:55,-14.55
,109,2020-07-01 10:59:55,-12.87
,105,2020-07-01 10:59:55,-14.76
,106,2020-07-01 10:59:55,-13.66
,107,2020-07-01 10:59:55,-15.44
,108,2020-07-01 10:59:55,-14.85
,110,2020-07-01 10:59:55,-14.34
,111,2020-07-01 10:59:55,-15.98
,112,2020-07-01 10:59:55,-16.88
,113,2020-07-01 10:59:55,-12.11
,114,2020-07-01 10:59:55,-14.51
,115,2020-07-01 10:59:55,-15.44
,116,2020-07-01 10:59:55,-16.50
,117,2020-07-01 10:59:55,-14.88
,118,2020-07-01 10:59:55,-15.32
